1, 107500000, 7, S1
1, 114000000, 8, D1
2, 114500000, 7, S2
3, 121500000, 7, S3
2, 122000000, 8, D2
4, 128500000, 7, S4
3, 130000000, 8, D3
5, 135500000, 7, S5
4, 138000000, 8, D4
6, 142500000, 7, S6
5, 146000000, 8, D5
7, 149500000, 7, S7
6, 154000000, 8, D6
8, 156500000, 7, S8
7, 162000000, 8, D7
9, 163500000, 7, S9
8, 170000000, 8, D8
10, 170500000, 7, S10
5, 177500000, 7, K5
9, 178000000, 8, D9
6, 184500000, 7, K6
10, 186000000, 8, D10
7, 191500000, 7, K7
11, 194000000, 8, D11
8, 198500000, 7, K8
12, 202000000, 8, D12
9, 205500000, 7, K9
13, 210000000, 8, D13
10, 212500000, 7, K10
14, 218000000, 8, D14
11, 219500000, 7, K11
15, 226000000, 8, D15
12, 226500000, 7, K12
11, 233500000, 7, S11
16, 234000000, 8, D16
12, 240500000, 7, S12
17, 242000000, 8, D17
13, 247500000, 7, S13
18, 250000000, 8, D18
14, 254500000, 7, S14
19, 258000000, 8, D19
15, 261500000, 7, S15
20, 266000000, 8, D20
16, 268500000, 7, S16
21, 274000000, 8, D21
17, 275500000, 7, S17
22, 282000000, 8, D22
18, 282500000, 7, S18
19, 289500000, 7, S19
23, 290000000, 8, D23
20, 296500000, 7, S20
24, 298000000, 8, D24
21, 474000000, 8, K21
22, 482000000, 8, K22
23, 490000000, 8, K23
24, 498000000, 8, K24
25, 506000000, 8, K25
26, 514000000, 8, K26
27, 522000000, 8, K27
28, 530000000, 8, K28
29, 538000000, 8, K29
30, 546000000, 8, K30
31, 554000000, 8, K31
32, 562000000, 8, K32
33, 570000000, 8, K33
34, 578000000, 8, K34
35, 586000000, 8, K35
36, 594000000, 8, K36
37, 602000000, 8, K37
38, 610000000, 8, K38
39, 618000000, 8, K39
40, 626000000, 8, K40
41, 634000000, 8, K41
42, 642000000, 8, K42
43, 650000000, 8, K43
44, 658000000, 8, K44
45, 666000000, 8, K45
46, 674000000, 8, K46
47, 682000000, 8, K47
48, 690000000, 8, K48
49, 698000000, 8, K49
50, 706000000, 8, K50
51, 714000000, 8, K51
52, 722000000, 8, K52
53, 730000000, 8, K53
54, 738000000, 8, K54
55, 746000000, 8, K55
56, 754000000, 8, K56
57, 762000000, 8, K57
58, 770000000, 8, K58
59, 778000000, 8, K59
60, 786000000, 8, K60
61, 794000000, 8, K61
62, 802000000, 8, K62
63, 810000000, 8, K63
64, 818000000, 8, K64
65, 826000000, 8, K65
66, 834000000, 8, K66
67, 842000000, 8, K67
68, 850000000, 8, K68
69, 858000000, 8, K69
